,FX_EURUSD,FX_GBPUSD,RATES_USD_2Y,RATES_USD_10Y
2020-01-10,-0.6708795025617803,0.2766189483979913,0.011711362484692941,-0.04079018655553551
2020-01-17,-0.681592808373206,0.2643977250250186,0.013776261585457661,-0.04023320501631779
2020-01-24,-0.6782101995748171,0.26167601727198403,0.017128954449074113,-0.04298482870412474
2020-01-31,-0.668739475148958,0.27103075387563974,0.016502476628416442,-0.043727294346985905
2020-02-07,-0.666672487699332,0.27513465743132376,0.01252482322721391,-0.0456680316421304
2020-02-14,-0.6862662106574495,0.24641585284061443,0.019076518829834178,-0.048241417672101855
2020-02-21,-0.6784080515435036,0.26119171061688035,0.01732378112076513,-0.04307645671885103
2020-02-28,-0.6849026179933543,0.2466620543049264,0.020042295619275067,-0.04839303208244426
2020-03-06,-0.6811200797141213,0.26474916483948685,-0.01635539530282683,-0.037775360143565154
2020-03-13,-0.6586462365354502,0.27312145194761156,-0.02293653456627398,-0.04529577695066428
2020-03-20,-0.7283902586403668,0.19046786794574236,-0.06482932076315896,-0.016312552650731976
2020-03-27,-0.7828956819132499,0.13368365904146917,-0.0708610231820523,-0.012559635863228568
2020-04-03,-0.6874483731068599,0.22531568599894403,-0.0670684139731014,-0.020167526921094543
2020-04-10,-0.6766100659535562,0.2484074135066947,-0.05446459782818495,-0.02051792271156412
2020-04-17,-0.6646178390325282,0.2592075558723323,-0.07060994693696586,-0.0055646581581735724
2020-04-24,-0.6636910964960858,0.2631823630441469,-0.06394711288783121,-0.009179427571936016
2020-05-01,-0.6776098529032875,0.24897103492572467,-0.05590231270673709,-0.017516799464250696
2020-05-08,-0.6536111169664031,0.2705679644862935,-0.06635799298939388,-0.009462925557909585
2020-05-15,-0.6625612432238088,0.26231453480424755,-0.07384609770866564,-0.0012781242632779967
2020-05-22,-0.6764383563794234,0.24438441201193398,-0.07068097937847456,-0.008496252230168087
2020-05-29,-0.6804696518784059,0.2254161241017852,-0.08324895702563598,-0.010865266994173041
2020-06-05,-0.6697458863895697,0.22738816521710983,-0.09061455038482952,-0.012251398008490833
2020-06-12,-0.5875264065349677,0.25850015663684345,-0.12781302540417658,0.026160411424012316
2020-06-19,-0.6236025047945218,0.2597504672225571,-0.11318168528464946,0.003465342698271608
2020-06-26,-0.6428881812842856,0.24253168078015133,-0.11308467832163373,0.0014954596139293461
2020-07-03,-0.6448771612300741,0.23937722445797033,-0.11109092084295835,-0.004654693468997119
2020-07-10,-0.6343387903343904,0.24762838946666416,-0.11505963277075829,0.0029731874281869156
2020-07-17,-0.6244386402112367,0.26548306586109977,-0.10960027304798607,-0.00047802087967733137
2020-07-24,-0.6212639921613888,0.24621122031718212,-0.1306742451033253,-0.001850542418103746
2020-07-31,-0.5837522739045631,0.25201647737542526,-0.14814350144840738,-0.016087747271604343
2020-08-07,-0.5074518616581366,0.31117609103570115,-0.16222942772633045,-0.019142619579831658
2020-08-14,-0.5066568142274788,0.3144948166240773,-0.16008959367314776,-0.01875877547529606
2020-08-21,-0.5135834696211218,0.3083285382992666,-0.16792574684260356,0.010162245237008061
2020-08-28,-0.5092041642025716,0.3313327856843876,-0.15274793951466026,-0.00671511059838045
2020-09-04,-0.50678665100681,0.32684833602850394,-0.15271429587817642,0.013650717086509714
2020-09-11,-0.5053300172177051,0.3354097724170454,-0.1484958375675099,0.010764372797739459
2020-09-18,-0.523628829994258,0.24156087685519273,-0.231071550302201,-0.0037387428483484316
2020-09-25,-0.5108146588965221,0.2850581393678376,-0.20013806999205982,0.003989131743580524
2020-10-02,-0.561370771836241,0.2565128007237424,-0.1814916072645033,-0.0006248201755134268
2020-10-09,-0.5331314827205186,0.2771445880806222,-0.1832022105724726,0.0065217186263865435
2020-10-16,-0.5137987143374317,0.28301636344604997,-0.1841513122272938,0.01903360998922454
2020-10-23,-0.5289190524955448,0.2812990316396951,-0.17332580921669338,0.01645610664806659
2020-10-30,-0.49100428071213076,0.30326674635372153,-0.1790122830878789,0.026716689846268907
2020-11-06,-0.5086280920411695,0.2873744655432237,-0.17057324523441283,0.03342419718119387
2020-11-13,-0.48646974107153707,0.3171557147244084,-0.17223216032238503,0.024142383881669574
2020-11-20,-0.48210013338469,0.3122858516977807,-0.17400039523611857,0.03161361968141085
2020-11-27,-0.4755756566637347,0.3307623907352593,-0.16936744407604307,0.024294508524962927
2020-12-04,-0.4636185767522886,0.3425514778682268,-0.16794877928957633,0.025881166089908123
2020-12-11,-0.36905894073216267,0.3523932885948209,-0.2240604355276957,0.054487335145320594
2020-12-18,-0.351278875778677,0.33544431827226173,-0.25665656229472594,0.056620243654335434
2020-12-25,-0.326865669591919,0.3717827556885831,-0.24187178004910034,0.05947979467039766
2021-01-01,-0.36529678726784476,0.3650833407694301,-0.21708082733245948,0.052539044630265534
2021-01-08,-0.3815623640493065,0.37544076989250047,-0.19602033387334147,0.0469765321848516
2021-01-15,-0.32101191110939536,0.35708538410199425,-0.24147672729904238,0.08042597748956799
2021-01-22,-0.3800642320050427,0.3607614472429247,-0.19440154566163168,0.0647727750904009
2021-01-29,-0.37928707346394425,0.36553750023273773,-0.1919865743022593,0.06318885200105884
