date,ML_Strategy,Baseline_Strategy
2020-01-17,0.00830402288724319,-0.0017115773025133188
2020-01-24,-0.058606042739945935,0.010386896840725036
2020-01-31,-0.08867905848304605,0.006410678725169143
2020-02-07,0.03592174221950725,-0.0026668081783654297
2020-02-14,0.001635602142195297,0.010920993694445862
2020-02-21,-0.056970470227999115,0.0053254770582186715
2020-02-28,-0.19754178788917995,-0.007143280774032184
2020-03-06,-0.1836502875785532,-0.001474233836668698
2020-03-13,0.04178899119096727,-0.012970838850892492
2020-03-20,-0.06818914804706919,0.011350583081542302
2020-03-27,-0.05546938342607172,-0.0039726885637668356
2020-04-03,-0.030563145629675596,0.019035626257482875
2020-04-10,0.03055209414149454,-0.0062001765130737145
2020-04-17,-0.02841531393779064,0.008201529126264845
2020-04-24,-0.012089623805775586,0.0010369162048919347
2020-05-01,0.013546950921591645,-0.00457776351127938
2020-05-08,-0.0040576354508531295,0.003997502743869705
2020-05-15,-0.016065895448021617,-0.0008093448117611698
2020-05-22,0.01066234128220317,-0.009936358907558764
2020-05-29,-0.00011412564183310714,-0.005042053338657037
2020-06-05,0.09167384689218065,-0.018451820979572806
2020-06-12,-0.05923292770838686,0.007531905814983171
2020-06-19,-0.0071926846023293856,0.0006633428907240157
2020-06-26,-0.019780793551717406,0.0014101166147492286
2020-07-03,0.008675213296957973,0.0010869764248460883
2020-07-10,-0.0036040195984740064,-7.253662153741203e-05
2020-07-17,-0.0060973597627809115,-0.004477705319979192
2020-07-24,-0.004615258484645002,-0.007536495112391026
2020-07-31,-0.0039442628754249,-0.0033150493276815456
2020-08-07,0.010473353950360056,-0.0031051994755275617
2020-08-14,0.034954383318080706,-0.0033402403865377015
2020-08-21,-0.008426309063214878,-0.0007324476637444125
2020-08-28,0.0184696442721086,0.006227557703492166
2020-09-04,-0.003386769779572474,0.0008392610800361824
2020-09-11,-0.023882395686858016,-0.009683907701286057
2020-09-18,0.013768189055490626,0.002200178706910686
2020-09-25,-0.022901484790706556,0.008435464621774585
2020-10-02,0.016567778411549022,-0.002092271176975227
2020-10-09,0.031520937920811946,-0.005476427102391732
2020-10-16,-0.014513850306585634,0.005358482120622784
2020-10-23,0.038214056433701085,-0.006527613740040535
2020-10-30,-0.008177965108136745,0.010386679957931149
2020-11-06,-0.0005170818600161511,-0.005888002981933165
2020-11-13,0.016862913919527545,0.0005201103620261316
2020-11-20,-0.013732630457536532,0.0007580966351836381
2020-11-27,0.005529765203529935,0.0007857260196230185
2020-12-04,0.03919849305122766,-0.0035195651874992935
2020-12-11,-0.032802149073066986,0.0028362808326544003
2020-12-18,0.024907900242045058,0.0016500467739063562
2020-12-25,-0.004424848789347791,0.0012189399099349118
2021-01-01,-0.000359213077243431,0.002844060244031547
2021-01-08,0.05248113315436678,0.0028421504717615854
